"id";"polarity";"tweet"
"1467933112";"0";"the angel is going to miss the athlete this weekend "
"2323395086";"0";"It looks as though Shaq is getting traded to Cleveland to play w/ LeBron... Too bad for Suns' fans. The Big Cactus is no more "
"1467968979";"0";"@clarianne APRIL 9TH ISN'T COMING SOON ENOUGH "
"1990283756";"0";"drinking a McDonalds coffee and not understanding why someone would hurt me for no apparent reason. "
"1988884918";"0";"So dissapointed Taylor Swift doesnt have a Twitter "
"1467984364";"0";"Wishes I was on the Spring Fling Tour with Dawn &amp; neecee Sigh  G'knight"
"1964951623";"0";"got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo "
"1881133744";"0";"i've only been in sydney for 3 hrs but I miss my friends  especially @ktjade!!!"
"1753802024";"0";"xboxtweet not working again "
"1980497384";"0";"R.I.P to lebron/kobe puppet commercials... "
"1755405128";"0";"Allergies sucks sometimes. Theres a super adorable 9 month old beagle named Sydney hanging out with my roomie and his friend. Can't pet. "
"1966205498";"0";"has a broken iphone "
"2206224118";"0";"Line at McDonalds was too long so I can't get my sausage biscuit on "
"1687790990";"0";"@stephnewby there is a virus going around  congestion, throw up, &amp; high fever"
"1963812485";"0";"I scratched my iPod "
"1467844505";"0";"I don't understand... I really don't "
"2258491381";"0";"@Rove1974 @Pink is our hero too! Love her! Wanna go see her in Brisvegas again but sadly my bank balance wont let me "
"1468039375";"0";"I hate the fact that I'm genuinely excited about my last tweet "
"2212063772";"0";"Tula's sick! Nausious, Nasal congestion, headache, bodyaches and my nose is running a marathon. Theraflu please help "
"1557163971";"0";"Hayfever time  not good!"
"1975133437";"0";"I wish diversity was like one of those musicians with loads of stuff on YouTube, but no  #bgt"
"1932575931";"0";"Oh No - the Cavs lost game 4  Cavs are 1 loss away from triggering a nuclear event that would make the hadron look like tiddlywinks ,,"
"1467899025";"0";"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! "
"2324113552";"0";"worked on 5 bone marrow cases today! All + for cancer! "
"1468042132";"0";"It was a sleepless night "
"1467985185";"0";"@d_castillo ugh, that's disconcerting "
"1980282216";"0";"forgot about my english coursework &amp; my ipod is banjaxed; today is just not my day "
"2179698078";"0";"@TweetRamona too bad it's in seattle.. "
"1467985259";"0";"MY TWEETS ARENT GOING THROUGH "
"2299794306";"0";"@SeattleRealEst8 439 calories; 28 grams of fat; 41.7 carbs...  by by Mexi-Fry."
"1695998263";"0";"@mglickman that reminds me of a bit howard stern did back in the day about oprah eating a lot.  i wish i could find it on the net. "
"2175909248";"0";"Is wondering why it's always warm when she leaves London in the morning &amp; freezing when she gets to Woking "
"1467932979";"0";"@lolitariot oh no  hope you're not getting sick too!"
"1468036579";"0";"@mykele sayyyy whaaaa? I wasn't invited... "
"1467913111";"0";"#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  "
"1980105719";"0";"@sweetbaboo1979 Have 2 -Angel is our old gal, nearly 11 and Sadie is her daughter. Angel's age catching up 2 her-cancer,joint failure  "
"1556068472";"0";"Hmm im usually dead rite now...ugh skool monday..no more oprah ellen or kathie lee and hoda     i wish u went to skool for a millisecond!!"
"2252521888";"0";"I have had a 102. Fever all night. "
"2063299796";"0";"Who invented hayfever? "
"1989549312";"0";"Wishing the Cavs were in the NBA Finals...we just can't let it go "
"1468031439";"0";"@endearingevania I sure wish I could go with you guys tmrw. But as per usual, school interferes. "
"2202091896";"0";"@AshleyLTMSYF hiya how r u? shame i missed u in Sydney. i was sick.i heard yall rocked!!! i missed the a/party 2 which i was invited to "
"2200029856";"0";"#haveyouever wished microsoft never had to update xbox live? i'm so sad i can't play cod4 live. "
"1467876133";"0";"has lost his ring. It's no-where to be seen "
"2206892331";"0";"Trying to set up Xbox Live and failing tremendously...brain ache "
"1882993898";"0";"@TerrenceJ106. U should have told her and that voice box gone b bad 2 if ur ass keep on smokin them cancer sticks  lol"
"1759089904";"0";"awhh.   going home from Vegas. :'(      but im going back in June"
"2238285997";"0";"i really feel bad bout eating a cheeseburger and a donut for dinner  ugh! i so need to burn this off tomorrow! :| darn McDonalds!!!!"
"1932332597";"0";"oh my gooooooodness!!!! the cavs down 3-1!! "
"1982348564";"0";"I would have bet a hundred bucks it would b Cleveland &amp; LA in the finals. Thought it was Lebrons year "
"2070393327";"0";"@Lowjacker twitter top trends pisses me off. Oprah and the other tv celebs totally ruined twitters vibe. "
"2250870150";"0";"I haaattte hayfever. Piriton, claritin and antihistamines seem to not make any difference "
"1680198701";"0";"The people here in Argentina say Obama will be the next JFK....  it is very bad but is the sad truth...."
"2188709688";"0";"Headache, bed, work in the morning, then busy all day tomorrow. "
"1981120647";"0";"@Egyptsaidso u were right about lastnites game  damn i still love Lebron!lol"
"2182725318";"0";"England are rubbish. Wrong captain. Wrong selection. Only 2 batsmen. Jimmy Anderson was awful. Gutted. "
"1467930017";"0";"stuck at home "
"2175776911";"0";"@cateycancer ohhh??? That bad huh  u still got pink in your hair where you working??"
"2188783186";"0";"06:38 to London Liverpool Street. A bit of time to sort my photographs and to start reading Dot Robot. Didn't find time for a coffee "
"2198021691";"0";"Sadly, Obama is the later "
"2204513867";"0";"@britneyspears I should have gone to see you in london! "
"2001056928";"0";"@davidschwimmer cold!!!??? Here in London it's been awful. We get a humid sticky heat. Not great to work in "
"2204488979";"0";"@dan_jf It's very handy but unfortunately it appears to have borked my Facebook status column "
"1468014571";"0";"Work laptop is officially dead .. Not happy at all.. "
"1467837888";"0";"@Henkuyinepu it's overrated "
"1999578367";"0";"@oprah Tyler Perry was a first time voter?........ Australia is wayyyy behind in Oprah eps. "
"1976978005";"0";"i guess it's over for the cavs..... "
"1467894749";"0";"wishing i was home underneath my covers "
"2016118429";"0";"@Rocker182 Sweet. No better game to be able to play anywhere than that. Too bad I don't have my PSP on me today. "
"1558591211";"0";"My carelessness led to wiping out all contacts on my iPhone "
"2057317515";"0";"Urgh damn hayfever  my eyes are soooo itchy.  *rubs eye madly*"
"1468006137";"0";"Wrote exactly three lines of dialogue tonight, then gave up. "
"2204666389";"0";"Maybe eating McDonalds, downing a sherbet fountain &amp; washed it down with warm coke..I feel a bit queasy. And quite a bit foamy "
"1973089933";"0";"Stressed.... Headache..... Stressed "
"1982967985";"0";"It's no longer sunny in Seattle.  http://tr.im/sunnyinseattle"
"1468056316";"0";"I'm doing my homework. It's gosh darn hard!! "
"1980316231";"0";"Wee man is away to Englandshire with Gran and Grandad. That'll be me lost for the rest of the week. "
"1680347120";"4";"@ mcdonalds with my litto sis aka cuzin lol cristyyyyy "
"1835259469";"4";"@AnnaSaccone Love your new cards!   I would definitely hire you ;)."
"1983068285";"4";"@supricky06 that was one of the most enjoyable experiences I've had on YouTube. Well done  http://bit.ly/1a7zPw"
"1559842363";"4";"Dallas vegas goodness  http://twitpic.com/3lzt1 On my way to to the SusCon "
"1999078293";"4";"@JBsFanArgentina Hey I luv this pic!!! was amazing of the last CHAT of The JB in FACEBOOK! "
"2053185460";"4";"@llmatticusll yuuuup! 9 miles  it's for cancer! for a good deed!"
"1565998071";"4";"@seanmurphymusic I'am in love with Taylor Swift's &quot;Crazier&quot; and I think you should definitely do a cover of it, it'll be beautiful  &lt;3"
"2190562741";"4";"Had a piece of fried chicken, some PSP luv and now off to bed. "
"1973399754";"4";"@mileycyrus BRAZIL LOVES U SO MUCH!! YOU ARE AWESOME, MILEY! COME TO BRAZIL.. WE CAN'T FOR THIS DAY COME "
"1965391855";"4";"@SilMuri yeah that'd be awesome... You're gonna be the new Oprah! Freakin' yeah  *ninja-rolls over to Sil to eat chocolate*"
"1467987672";"4";"@DanniAsheOnline Awwww she called me sexy  nice! you rock Danni! you just made my night gurl! muah! I'll give you props anytime! "
"2000270889";"4";"@McChelsea get a glass of wine, a nice book, and just chillax out there.  oh wait, it's seattle, i'll probably rain. hah "
"1550736352";"4";"Had to happen, @Oprah is on twitter, and only after 24 hours, she's got 260,371 followers and counting...  You go girlfriend!"
"1967963720";"4";"THE LAKERS ARE SO GOING TO WIN AND ADVANCE TO THE FINALS "
"1468005311";"4";"@lightinthesky wow. enjoy! "
"1467990416";"4";"i drew a cute baby zebra i think he is my favorite so far "
"1468021160";"4";"Went to Calgary with some of the lads (Gaspar had to sit in the boot  ) to watch the Flames versus LA Kings. Calgary won 4-1. Nice night."
"1979149789";"4";"@batistini21 lols you go for the cavs. orlando owned them today "
"2050078540";"4";"@CCArquette ps. please try to see if you get Cougar Town to be broadcast internationally!!! im brazilian but such a great fan of yours! "
"2046866302";"4";"I L&lt;3VE Taylor Swift.She is just so amazing and her music is wonderfull and makes me so happy. "
